LP;extension;group;action;done
142;f1782708713_apisetstub;PhotoRecExt;leave;
143;f1782708737_apisetstub;PhotoRecExt;leave;
144;f1782717441_apisetstub;PhotoRecExt;leave;
145;f1782717465_apisetstub;PhotoRecExt;leave;
146;f1782717489_apisetstub;PhotoRecExt;leave;
147;f1782718649_apisetstub;PhotoRecExt;leave;
148;f1782763801_SharedStartModelShim;PhotoRecExt;leave;
149;f1782805377_NVIDIA_GeForce_Experience;PhotoRecExt;leave;
150;f1782892001_UNKNOWN_FILE;PhotoRecExt;leave;
151;f1782892073_UNKNOWN_FILE;PhotoRecExt;leave;
152;f1782892345_dwmcore;PhotoRecExt;leave;
153;f1782895825_DWrite;PhotoRecExt;leave;
154;f1782957353_EKAiOOPL;PhotoRecExt;leave;
155;f1782957697_EKAiORES;PhotoRecExt;leave;
156;f1782958025_EKAiOXPS;PhotoRecExt;leave;
157;f1782958297_Kdk_WIA_Driver;PhotoRecExt;leave;
158;f1782959865_apisetstub;PhotoRecExt;leave;
159;f1783054297_DiagnosticsHub_is;PhotoRecExt;leave;
160;f1783054393_DiagnosticsHub_is;PhotoRecExt;leave;
161;f1783108273_apisetstub;PhotoRecExt;leave;
162;f1783173993_CsiImm;PhotoRecExt;leave;
163;f1783186577_d2d1;PhotoRecExt;leave;
164;f1783386913_apisetstub;PhotoRecExt;leave;
165;f1783387193_bootres;PhotoRecExt;leave;
166;f1783390065_CertCa;PhotoRecExt;leave;
167;f1783390113_CertCli;PhotoRecExt;leave;
168;f1783390289_CLB;PhotoRecExt;leave;
169;f1783390321_clusapi;PhotoRecExt;leave;
170;f1783399017_d2d1;PhotoRecExt;leave;
171;f1783400897_dnsapi;PhotoRecExt;leave;
172;f1783401377_DWrite;PhotoRecExt;leave;
173;f1783402081_EtwEseProviderResources;PhotoRecExt;leave;
174;f1783402121_expand;PhotoRecExt;leave;
175;f1783410497_gdiplus;PhotoRecExt;leave;
176;f1783531937_GRB_1;PhotoRecExt;leave;
177;f1783553713_apisetstub;PhotoRecExt;leave;
178;f1783553737_apisetstub;PhotoRecExt;leave;
179;f1783553761_apisetstub;PhotoRecExt;leave;
180;f1783554217_apisetstub;PhotoRecExt;leave;
181;f1783554241_apisetstub;PhotoRecExt;leave;
182;f1783554265_apisetstub;PhotoRecExt;leave;
183;f1783554537_MSSIP32_Forwarder_DLL;PhotoRecExt;leave;
184;f1783573361_apisetstub;PhotoRecExt;leave;
185;f1783731649_MSCAT32_Forwarder_DLL;PhotoRecExt;leave;
186;f1784155769_gdiext;PhotoRecExt;leave;
187;f1784453361_dciman32;PhotoRecExt;leave;
188;f1784511777_gdiplus;PhotoRecExt;leave;
189;f1784563513_ktmw32;PhotoRecExt;leave;
190;f1784571025_apisetstub;PhotoRecExt;leave;
191;f1784585425_apisetstub;PhotoRecExt;leave;
192;f1784585465_apisetstub;PhotoRecExt;leave;
193;f1784587281_apisetstub;PhotoRecExt;leave;
194;f1784587313_apisetstub;PhotoRecExt;leave;
195;f1784587337_apisetstub;PhotoRecExt;leave;
196;f1784589009_apisetstub;PhotoRecExt;leave;
197;f1784589033_apisetstub;PhotoRecExt;leave;
198;f1784589057_apisetstub;PhotoRecExt;leave;
199;f1784747089_user32;PhotoRecExt;leave;
200;f1784750969_azroles;PhotoRecExt;leave;
201;f1784786153_DWrite;PhotoRecExt;leave;
202;f1784859641_apisetstub;PhotoRecExt;leave;
203;f1784859673_apisetstub;PhotoRecExt;leave;
204;f1784859697_apisetstub;PhotoRecExt;leave;
205;f1784859769_apisetstub;PhotoRecExt;leave;
206;f1784859793_apisetstub;PhotoRecExt;leave;
207;f1784859817_apisetstub;PhotoRecExt;leave;
208;f1784860393_apisetstub;PhotoRecExt;leave;
209;f1784860417_apisetstub;PhotoRecExt;leave;
210;f1784860441_apisetstub;PhotoRecExt;leave;
211;f1784860537_apisetstub;PhotoRecExt;leave;
212;f1784860561_apisetstub;PhotoRecExt;leave;
213;f1784860585_apisetstub;PhotoRecExt;leave;
214;f1784860953_apisetstub;PhotoRecExt;leave;
215;f1784860977_apisetstub;PhotoRecExt;leave;
216;f1784861001_apisetstub;PhotoRecExt;leave;
217;f1784863609_apisetstub;PhotoRecExt;leave;
218;f1784863633_apisetstub;PhotoRecExt;leave;
219;f1784863657_apisetstub;PhotoRecExt;leave;
220;f1784864761_apisetstub;PhotoRecExt;leave;
221;f1784865137_ScrCons;PhotoRecExt;leave;
222;f1785014793_apisetstub;PhotoRecExt;leave;
223;f1785015225_apisetstub;PhotoRecExt;leave;
224;f1785041577_apisetstub;PhotoRecExt;leave;
225;f1785077633_apisetstub;PhotoRecExt;leave;
226;f1785101073_apisetstub;PhotoRecExt;leave;
227;f1785178313_apisetstub;PhotoRecExt;leave;
228;f1785178425_Softpub_Forwarder_DLL;PhotoRecExt;leave;
229;f1785194393_apisetstub;PhotoRecExt;leave;
230;f1785207857_scesrv;PhotoRecExt;leave;
231;f1785221225_apisetstub;PhotoRecExt;leave;
232;f1785229145_apisetstub;PhotoRecExt;leave;
233;f1785230265_dciman32;PhotoRecExt;leave;
234;f1785247049_apisetstub;PhotoRecExt;leave;
235;f1785249057_apisetstub;PhotoRecExt;leave;
236;f1785249961_apisetstub;PhotoRecExt;leave;
237;f1785250369_apisetstub;PhotoRecExt;leave;
238;f1785250737_apisetstub;PhotoRecExt;leave;
239;f1785251681_apisetstub;PhotoRecExt;leave;
240;f1785251777_apisetstub;PhotoRecExt;leave;
241;f1785253137_apisetstub;PhotoRecExt;leave;
242;f1785253377_apisetstub;PhotoRecExt;leave;
243;f1785253401_apisetstub;PhotoRecExt;leave;
244;f1785253425_apisetstub;PhotoRecExt;leave;
245;f1785256537_esevss;PhotoRecExt;leave;
246;f1785256633_apisetstub;PhotoRecExt;leave;
247;f1785259513_apisetstub;PhotoRecExt;leave;
248;f1785261497_apisetstub;PhotoRecExt;leave;
249;f1785262025_apisetstub;PhotoRecExt;leave;
250;f200987105_nds;PhotoRecExt;leave;
251;f201002433_cards;PhotoRecExt;leave;
252;f201006337;PhotoRecExt;leave;
253;f201019169_DIACTFRM;PhotoRecExt;leave;
254;f201020537_DIMAP;PhotoRecExt;leave;
255;f201157409_expand;PhotoRecExt;leave;
256;f201163913_glmf32;PhotoRecExt;leave;
257;f201173401_graftabl;PhotoRecExt;leave;
258;f201192721_mcd;PhotoRecExt;leave;
259;f201226249;PhotoRecExt;leave;
260;f201234305_MSCAT32_Forwarder_DLL;PhotoRecExt;leave;
261;f201236585_MSSIP32_Forwarder_DLL;PhotoRecExt;leave;
262;f201239409_oledsldp;PhotoRecExt;leave;
263;f201310481_Softpub_Forwarder_DLL;PhotoRecExt;leave;
264;f201347057_win;PhotoRecExt;leave;
265;f201455945_azroles;PhotoRecExt;leave;
266;f201470105_CLICONFG;PhotoRecExt;leave;
267;f201470297_CLICONFG;PhotoRecExt;leave;
268;f201470337_CLICONFGENU;PhotoRecExt;leave;
269;f201504753_DBMSRPCN;PhotoRecExt;leave;
270;f201504801_DBnetlib;PhotoRecExt;leave;
271;f201505089_DBNMPNTW;PhotoRecExt;leave;
272;f201639753_licmgr;PhotoRecExt;leave;
273;f201646065_LanguagePack;PhotoRecExt;leave;
274;f201696153_AVWAV;PhotoRecExt;leave;
275;f201754617_MSVidCtl;PhotoRecExt;leave;
276;f201759929_MSWebDVD;PhotoRecExt;leave;
277;f201788553;PhotoRecExt;leave;
278;f201813273_NTVDMD;PhotoRecExt;leave;
279;f201820817_ODBC32GT;PhotoRecExt;leave;
280;f201821625_ODBCCPL;PhotoRecExt;leave;
281;f201821689_ODBCCP32;PhotoRecExt;leave;
282;f201821945_ODBCCR32;PhotoRecExt;leave;
283;f201822137_ODBCCR32;PhotoRecExt;leave;
284;f201823681_ODBCTRAC;PhotoRecExt;leave;
285;f201829113_write;PhotoRecExt;leave;
286;f201831393_opengl32;PhotoRecExt;leave;
287;f201839097_Auto_Enrollment_DLL;PhotoRecExt;leave;
288;f201841537_PID;PhotoRecExt;leave;
289;f201883913_scrnsave;PhotoRecExt;leave;
290;f201886081_SeCEdit;PhotoRecExt;leave;
291;f201889457_a6ize;PhotoRecExt;leave;
292;f201978001_SQLSRV32;PhotoRecExt;leave;
293;f201978961_SQLSRV32;PhotoRecExt;leave;
294;f201980793_Flying_Objects;PhotoRecExt;leave;
295;f201982841_ssbezier;PhotoRecExt;leave;
296;f201983153_FlowerBox;PhotoRecExt;leave;
297;f201984113_ssmarque;PhotoRecExt;leave;
298;f201984289_ssmyst;PhotoRecExt;leave;
299;f201984329_Pipes;PhotoRecExt;leave;
300;f201986377_ssstars;PhotoRecExt;leave;
301;f201986409_Text3D;PhotoRecExt;leave;
302;f202050769;PhotoRecExt;leave;
303;f202053041_WIADSS_DLL;PhotoRecExt;leave;
304;f202056977_WindowsCodecs;PhotoRecExt;leave;
